0,1,2,3,4,5,6,7
2019-10-15 06:24:10,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,TinkerBellLand,False,Twitter Web App,119,0
2019-10-15 04:08:22,UK renewables generate more electricity than fossil fuels for the first time #abiud #markodhiambo #savelamu… https://t.co/VBoQGmPqCR,en,,False,Twitter for Android,0,1
2019-10-14 18:00:17,Jameni @KenyaPower #SwitchOffKPLC https://t.co/C3sJivTBWd,in,Nairobi,False,Twitter for Android,0,0
2019-10-13 16:29:21,@KenyaPower_Care This was not attended to. We are still in the dark. 7days and counting. This is not acceptable in… https://t.co/AuQy0NyWHn,en,"Nairobi, Kenya",False,Twitter for Android,0,0
2019-10-13 15:35:09,"@osore_tunu @KenyaPower_Care KPLC must be switched off.

#SwitchOffKPLC",en,,False,Twitter for Android,0,1
2019-10-13 15:30:50,"@RKaruria @stephen_muturi @KenyaPower_Care @KenyaPowerAlert KPLC is incapable of providing power.

#SwitchOffKPLC",en,,False,Twitter for Android,0,1
2019-10-13 14:22:29,RT @JerotichSeii: @Khalidhajiali01 @kipmurkomen @EliudKipchoge @KenyaPower_Care You can be sure that this the first &amp; last time the Senator…,en,"Nairobi, Kenya",False,Twitter for Android,1,0
2019-10-13 10:48:55,"RT @JerotichSeii: WaKenya: judging from last week's actions of the energy cartels after we served them, we know that they are very worried.…",en,"Nairobi, Kenya",False,Twitter for iPhone,326,0
2019-10-13 01:10:15,"So, from September 4th to 13th October my bill is 1802 while using fridge, TV and lights only ? Stop stealing from… https://t.co/gAErFkpcBp",en,Kenya,False,Twitter for Android,0,0
2019-10-12 18:52:30,@NjoraTimothy @KenyaPower_Care @Samkiura @KenyaPower #SwitchOffKPLC,und,,False,Twitter for Android,0,0
2019-10-12 17:55:51,"@KenyaPower_Care given a bill of negative 33 was it just estimate ? Stop estimating things if so.^MO
#SwitchOffKPLC",en,Kenya,False,Twitter for Android,0,0
2019-10-12 17:10:34,"@KenyaPower_Care When all Kenyan are watching the #Eliud159 ,#INEOS159 #NoHumanIsLimited we are in a black out. So sad. 
#SwitchOffKPLC",en,"Eldoret, Kenya",False,Twitter for Android,0,1
2019-10-12 16:54:14,@KenyaPower_Care @KenyaPower why should we miss power for almost 10 hours in kisumu as if we don't pay for his powe… https://t.co/MhO650Exfm,en,"Eldoret, Kenya",False,Twitter for Android,0,0
2019-10-12 15:27:37,"RT @andrewokumumaku: @KenyaPower_Care I only use fridge , lights and TV. On 4th I asked for my bill and was negative 33. Today when I check…",en,"Nairobi, Kenya",False,Twitter Web App,2,0
2019-10-12 15:16:33,"RT @andrewokumumaku: @KenyaPower_Care I only use fridge , lights and TV. On 4th I asked for my bill and was negative 33. Today when I check…",en,Kenya,False,Twitter for Android,2,0
2019-10-12 15:15:31,"@KenyaPower_Care I only use fridge , lights and TV. On 4th I asked for my bill and was negative 33. Today when I ch… https://t.co/C7IZpsVFob",en,Kenya,False,Twitter for Android,2,1
2019-10-12 15:05:17,@Khalidhajiali01 @kipmurkomen @EliudKipchoge @KenyaPower_Care You can be sure that this the first &amp; last time the S… https://t.co/tv6F8kdLyS,en,,False,Twitter for Android,1,2
2019-10-12 14:57:28,@wangunyu_k @KenyaPower_Care #SwitchOffKPLC,und,,False,Twitter for Android,0,1
2019-10-12 12:36:18,"RT @JerotichSeii: The theft will continue because the cartels appetite for money can never be satisfied.

Until WaKenya form an unstoppable…",en,,False,Twitter for Android,23,0
2019-10-12 10:11:02,@SirAlexas @KenyaPower_Care #SwitchOffKPLC,und,254 NAX,False,Twitter for Android,0,1
2019-10-12 09:37:56,"RT @JerotichSeii: WaKenya: judging from last week's actions of the energy cartels after we served them, we know that they are very worried.…",en,Africa,False,Twitter for Android,326,0
2019-10-12 09:22:43,😂😂😂😂 #SwitchOffKPLC https://t.co/yIhobeVwkL,und,Nairobi,False,Twitter for Android,0,1
2019-10-12 09:12:25,#SwitchOffKPLC No government service is upto the https://t.co/Jeu4XFBks6 power in Nrb areas while the world is tune… https://t.co/tR9chkZn4O,en,Nairobi,False,Twitter Web App,0,0
2019-10-12 09:10:53,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter Web App,119,0
2019-10-12 09:02:37,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-12 09:01:58,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,TweetDeck,119,0
2019-10-12 09:00:29,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPhone,119,0
2019-10-12 08:56:52,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-12 08:55:21,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-12 08:42:02,@kipmurkomen @EliudKipchoge It's such a shame while glued on KTN routing for him just few minutes to the world reco… https://t.co/TELvKkUhgo,en,Human Of The Earth,False,Twitter for Android,0,0
2019-10-12 08:35:24,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Africa ,False,Twitter for Android,119,0
2019-10-12 07:49:15,@kenduiywaah @KenyaPower_Care They used to be the best parastatal now they are just a statistic for why monopolies… https://t.co/lAxd4OZgJW,en,namanga,False,Twitter for iPhone,0,0
2019-10-12 07:49:07,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,somewhere in the +254...,False,Twitter for Android,119,0
2019-10-12 07:24:27,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter Web App,119,0
2019-10-12 07:19:24,@KenyaPower_Care @KenyaPower #Eliud159 #INEOS159 #SwitchOffKPLC https://t.co/FWtYd5jIU5,und,+254,False,Twitter for Android,0,0
2019-10-12 07:17:49,"Hi @KenyaPower_Care , we have been experiencing power outages in Umoja 1 areas of Peacock, Seaboat &amp; Market.
Landma… https://t.co/VUq4nbC7sM",en,+254,False,Twitter for Android,0,0
2019-10-12 06:55:24,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-12 06:52:53,Whoever labeled @KenyaPower_Care  kamati ya roho chafu never lied. How can you mess with power when the race has ju… https://t.co/b2SmhjqlMH,en,Riga,False,Twitter for iPhone,0,0
2019-10-12 06:41:11,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-12 06:09:45,"Of ALL the morning to not have electricity, Kenya Power chooses this one?! Where do I goooo!?

#EnemiesOfThePeople 
#SwitchOffKPLC",en,"Nairobi, Kenya",False,Twitter for iPhone,0,3
2019-10-12 05:14:58,We will #SwitchOffKPLC #ineos159challenge #IneosChallenge #NoHumanIsLimited #KOTLoyals https://t.co/fzoRlfttLh,en,,False,Twitter for Android,0,2
2019-10-12 04:51:45,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPhone,119,0
2019-10-12 04:45:36,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-12 04:18:28,"@FirstOfficerMax They never left! 

#SwitchOffKPLC",en,,False,Twitter for Android,0,1
2019-10-12 04:16:49,Bring back the dark days... #SwitchOffKPLC https://t.co/SWH0yFaRmO,en,"Nairobi, Kenya",False,Twitter Web App,0,0
2019-10-12 04:12:24,RT @MboyaApollo: We knew all along that @kenyapower was over billing  consumers to plug in the hole in their finances. We were vigilant to…,en,"Nairobi, Kenya",False,Twitter for Android,158,0
2019-10-12 03:59:40,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for iPad,119,0
