,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
0,,2020-03-14 13:55:03,AntomAntom1,I think simple precautions like avoiding grabbing earth and creating slums everywhere will save us #covid19kenya… ,en,THIKA,False,Twitter Web App,0,0
1,,2020-03-14 13:54:56,Mohamed29610696,"The first cases of #coronaInkenya and #coronainethiopia are reported. we Somalis, what measures should we take to p… ",en,Somalia,False,Twitter for Android,0,0
2,,2020-03-14 13:54:55,sudybe,Akina #sudi Wana maneno...lolNdio Baba wata kuja Leta Majibu wako Aliza à Na #coronaInkenya...Be safe ,in,Great Lakes Region,False,Twitter for iPad,0,0
3,,2020-03-14 13:54:48,Toplessbasin, When you use all your money to buy hundreds of cartons of hand sanitizer and boxes of tissue to use for #coronaInkenya but…,en,GLOBAL,False,Twitter for Android,25,0
4,,2020-03-14 13:54:44,ayogo_do,      Are you taking it right now😂?Is it kinda vaccine to #coronaInkenya,en,Ask Ayogo,False,Twitter for Android,0,0
5,,2020-03-14 13:54:44,yow_breezy, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,254,False,Twitter for Android,328,0
6,,2020-03-14 13:54:39,BeingCharlie,Stay woke#covid19kenya #coronaInkenya #COVID19 ,en,"Nairobi, Kenya",False,Twitter for Android,0,0
7,,2020-03-14 13:54:31,Mugambifaz, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,,False,Twitter Web App,328,0
8,,2020-03-14 13:54:26,EdGakuo, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,Qedamawi Temple,False,Twitter Web App,254,0
9,,2020-03-14 13:54:10,KGLLife,"TOYOTA COROLLA COUPE MANUAL FOR SALE AT 4,3M  via  #SaturdayThoughts,… ",ro,Rwanda,False,Twitter for Android,0,0
10,,2020-03-14 13:54:00,cole_muhairwe, Welcoming corona to Uganda like 🤣🤣🤣#coronaInkenya #coronavirus ,en,256🇺🇬,False,Twitter for Android,4,0
11,,2020-03-14 13:53:41,stacy_muriuki,We need a website with all this information!! Constant updates to be done on the progression of the #coronaInkenya.… ,en,"Nairobi, Kenya",False,Twitter for iPhone,0,0
12,,2020-03-14 13:53:19,KillionRae,Only God can preserve a Nation at this rate. May we return to the LORD that HE may INTERVENE. #CoronaVirusUpdates… ,en,"Kisumu, Kenya. ",False,Twitter for Android,0,0
13,,2020-03-14 13:53:04,DenisLidaywa, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"NAIROBI,Westlands",False,Twitter Web App,328,0
14,,2020-03-14 13:52:51,Arthurjoshu1,"What has Owuor's brainwashed followers so far said concerning the #coronaInkenya ??  Hey his followers, is Corona… ",en,Nairobi,False,Twitter for Android,0,0
15,,2020-03-14 13:52:47,Mosesmbogos, It's a good move for Christians like me who stay in Bamburi( Kenyan Gomorrah) But I even doubt if t… ,en,central kenya,False,Twitter for Android,0,0
16,,2020-03-14 13:52:18,thecccarolyne, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,,False,Twitter Web App,328,0
17,,2020-03-14 13:51:59,VijanAA_KE,The weekend is here NO FOOTBALL.... We miss VAR #rongai #coronaInkenya #CoronaVirusUpdates,en,,False,Twitter for Android,0,0
18,,2020-03-14 13:51:58,Josephnjoroge55," DP  cancels public engagements in Kitale and West Pokot tomorrow, Saturday, March 14, 2020.He was scheduled t…",en,"Nairobi, Kenya",False,Twitter for Android,145,0
19,,2020-03-14 13:51:55,RaswilliEms69," DP  cancels public engagements in Kitale and West Pokot tomorrow, Saturday, March 14, 2020.He was scheduled t…",en,"Kiambu, Kenya",False,Twitter for Android,145,0
20,,2020-03-14 13:51:52,RuisJosef, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,"Nairobi, Kenya",False,Twitter for Android,176,0
21,,2020-03-14 13:51:42,iDedan_, Cyrus oguna anakula moto ya nini?Track down and arrest the person who started that story and show us patient 0 recovering…,en,kenya,False,Twitter for Android,4,0
22,,2020-03-14 13:51:36,Gichohike, Till now....Jamaica has not recorded any case about CORONA virus💪🙄🙄Are you thinking what am thinking???#coronaInkenya .…,en,,False,Twitter for Android,5,0
23,,2020-03-14 13:51:31,timbundis, TUSKYS resctricts purchase of sanitizers to 3 per customer after people bought them in large quantities for re-sale. #c…,en,nairobi,False,Twitter for iPhone,9,0
24,,2020-03-14 13:51:09,BantUmaCharia, This is an unfair attack 😥😥😥Kalenjins were just panicking like everyone else! 😂#Covid19Kenya #CoronaInKenya#CoronaVirusUpd…,en,kenya nairobi,False,Twitter for Android,17,0
25,,2020-03-14 13:50:56,Sirmax73443544, NAIROBI COUNTY GOVERNMENT SHOULD ORDER ALL NIGHT CLUBS CLOSED FOR THE NEXT 45 DAYS.#coronaInkenya #covid19kenya #Co…,en,"Miami, FL",False,Twitter for Android,9,0
26,,2020-03-14 13:50:40,keeplungart, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Ngong, Kenya",False,Twitter for Android,328,0
27,,2020-03-14 13:50:25,shaneltenNew, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,,False,Twitter Web App,176,0
28,,2020-03-14 13:50:01,wamuy_u,"Some songs were produces specifically for corona kinda times""If the world was ending, you'd come over, right? You… ",en,"New York, USA",False,Twitter for Android,0,6
29,,2020-03-14 13:49:52,silassiloo, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,,False,Twitter Web App,328,0
30,,2020-03-14 13:49:52,shayan_tarakzai,Dear World! How is the lock down?— Kashmir#CoronaVirusUpdates#COVIDー19#coronaUK#ukcoronavirus#coronavirus… ,en,,False,Twitter for Android,0,0
31,,2020-03-14 13:49:47,arslanfida,Beautiful ♥️♥️♥️ Subhan Allah nature is at its best.#Kashmir #lockdown #coronapocalypse #coronaUK #ukcoronavirus… ,en,"Dublin City, Ireland",False,Twitter for Android,0,0
32,,2020-03-14 13:49:33,cNyarige,   this is how #coronaInkenya spreads easily. 🤣🤣🤣,en,"Nairobi, Kenya",False,Twitter for Android,0,2
33,,2020-03-14 13:49:32,KanikiYolanda, We're very stupid if we still think some people are not deliberately spreading the virus.I mean what are these Europeans…,en,South Africa,False,Twitter for Android,1,0
34,,2020-03-14 13:49:21,Am_Justus,  It seems someone  in government  is hellbent in creating  #coronaInkenya scare so as to com… ,en,,False,Twitter for Android,0,0
35,,2020-03-14 13:49:13,BeingCharlie,Public health announcement#covid19kenya #coronaInkenya ,en,"Nairobi, Kenya",False,Twitter for Android,0,0
36,,2020-03-14 13:49:06,KumiRuto, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,,False,Twitter for Android,254,0
37,,2020-03-14 13:48:40,JUICEPORT001, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,Kenya,False,Twitter for Android,328,0
38,,2020-03-14 13:48:38,ItsTrevorKe, NAIROBI COUNTY GOVERNMENT SHOULD ORDER ALL NIGHT CLUBS CLOSED FOR THE NEXT 45 DAYS.#coronaInkenya #covid19kenya #Co…,en,Nairobi🇰🇪,False,Twitter for Android,9,0
39,,2020-03-14 13:48:36,StanleyKIrungu, Uganda it is! After #coronaInkenya seems Uganda 🇺🇬 has a case but funny is guys trooped to see the chinese #coronavirus…,en,"Nairobi, Kenya",False,Twitter for Android,47,0
40,,2020-03-14 13:48:08,inezafrica,Let's follow the hygiene rules but don't panic #coronavirus #CODVID19 #coronaInkenya #coronaInRwanda ,en,kigali - Rwanda,False,Twitter for Android,0,0
41,,2020-03-14 13:48:04,Mosesmbogos, He is not aware that the virus can't survive the current temperatures at the coast Lol!#coronaInkenya,en,central kenya,False,Twitter for Android,0,1
42,,2020-03-14 13:48:03,MizzayTee, Good Morning.. #coronaInkenya #CoronaVirusUpdates ,en,YEG,False,Twitter for iPhone,618,0
43,,2020-03-14 13:47:55,poet_petit, #covid19kenya #Covid_19 #coronaInkenya #coronavirus #CoronaOutbreak repent ,en,,False,Twitter for Android,91,0
